RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
USER	SageMaker	132	START	1628679138242	1628679138242
USER	SageMaker	133	START	1628679138252	1628679138252
REQUEST	132		SageMaker-LEARNING-model-simulator-1	1628679138243	1628679138262	OK	 
USER	SageMaker	132	END	1628679138242	1628679138263
REQUEST	133		SageMaker-LEARNING-model-simulator-1	1628679138253	1628679138265	OK	 
USER	SageMaker	133	END	1628679138252	1628679138266
USER	SageMaker	134	START	1628679138272	1628679138272
REQUEST	134		SageMaker-LEARNING-model-simulator-1	1628679138273	1628679138283	OK	 
USER	SageMaker	134	END	1628679138272	1628679138284
USER	SageMaker	135	START	1628679138292	1628679138292
USER	SageMaker	136	START	1628679138303	1628679138303
REQUEST	135		SageMaker-LEARNING-model-simulator-1	1628679138294	1628679138315	OK	 
USER	SageMaker	135	END	1628679138292	1628679138316
REQUEST	136		SageMaker-LEARNING-model-simulator-1	1628679138304	1628679138316	OK	 
USER	SageMaker	136	END	1628679138303	1628679138316
USER	SageMaker	137	START	1628679138323	1628679138323
USER	SageMaker	138	START	1628679138342	1628679138342
REQUEST	137		SageMaker-LEARNING-model-simulator-1	1628679138324	1628679138342	OK	 
USER	SageMaker	137	END	1628679138323	1628679138343
USER	SageMaker	139	START	1628679138352	1628679138352
REQUEST	138		SageMaker-LEARNING-model-simulator-1	1628679138343	1628679138363	OK	 
USER	SageMaker	138	END	1628679138342	1628679138363
REQUEST	139		SageMaker-LEARNING-model-simulator-1	1628679138353	1628679138364	OK	 
USER	SageMaker	139	END	1628679138352	1628679138365
USER	SageMaker	140	START	1628679138372	1628679138372
REQUEST	140		SageMaker-LEARNING-model-simulator-1	1628679138373	1628679138384	OK	 
USER	SageMaker	140	END	1628679138372	1628679138385
USER	SageMaker	141	START	1628679138392	1628679138392
USER	SageMaker	142	START	1628679138403	1628679138403
REQUEST	141		SageMaker-LEARNING-model-simulator-1	1628679138393	1628679138403	OK	 
USER	SageMaker	141	END	1628679138392	1628679138403
REQUEST	142		SageMaker-LEARNING-model-simulator-1	1628679138404	1628679138423	OK	 
USER	SageMaker	143	START	1628679138423	1628679138423
USER	SageMaker	142	END	1628679138403	1628679138423
REQUEST	143		SageMaker-LEARNING-model-simulator-1	1628679138424	1628679138435	OK	 
USER	SageMaker	143	END	1628679138423	1628679138435
USER	SageMaker	144	START	1628679138443	1628679138443
USER	SageMaker	145	START	1628679138452	1628679138452
REQUEST	144		SageMaker-LEARNING-model-simulator-1	1628679138444	1628679138464	OK	 
